date,user,comment
12-05-2020T00:23:19,JojoGD,Im finally starting with the Minecraft Katherin art
12-05-2020T01:03:15,JojoGD,I got the face done again with a lot of errors I had to fix
12-05-2020T01:13:51,Dadrobit,Playstation: Error! Your database is corrupted!
12-05-2020T01:13:54,Dadrobit,FML
12-05-2020T01:22:28,JojoGD,:ptv-sleepy:
12-05-2020T04:42:32,Dadrobit,"Oof, 4 hours later and my system is reset and back in order... Now just to spend the rest of the night downloading my games again..."
12-05-2020T04:43:16,Dadrobit,"Wait, no, just felt like 4 hours, 2 and a half. I'm tired, can't math."
12-05-2020T04:44:02,Dadrobit,"Or 3 and a half, I don't fukkin know anymore, how do clocks even work man."
12-05-2020T06:09:19,TerraTheWizard,:ctwokinds-natsducky:
12-05-2020T09:09:29,JojoGD,☕️ 🐿
12-05-2020T10:45:10,AspiringNoodle,"Wooo, work"
12-05-2020T10:49:51,AspiringNoodle,"Growing a beard for the heck of it, or trying anyway, since a mask covers half my face at work"
12-05-2020T10:50:10,AspiringNoodle,1) Don't think I have dense enough facial hair for it
12-05-2020T10:50:14,AspiringNoodle,2) Itchyyyyyyyyyyyyyy
12-05-2020T11:11:12,JojoGD,My beard is back again
12-05-2020T12:24:14,JojoGD,I finally got a hair cut :ptv-dealwithit:
12-05-2020T12:28:01,AspiringNoodle,Lucky bastard
12-05-2020T12:35:58,AspiringNoodle,...:ptv-laugh:
12-05-2020T12:36:18,AspiringNoodle,"I walked back into my room, and apparently South Park is playing the Canada on Strike episode"
12-05-2020T12:36:59,AspiringNoodle,"And I walked in JUST as the scene featured a truck of ""canadian bacon"" driving away from ""Pizza Nut"""
12-05-2020T12:57:07,AspiringNoodle,...I want pizza now. Dangit!
12-05-2020T13:10:57,TerraTheWizard,:ctwokinds-RainezZz:
12-05-2020T13:37:01,JojoGD,night terra
12-05-2020T14:05:49,NibblyBot,New Patreon Post: Archmage Kathrin https://www.patreon.com/posts/archmage-kathrin-37075249
12-05-2020T14:11:04,JojoGD,nice remake
12-05-2020T14:13:55,NibblyBot,New Comic Page: Old Pain Best Left Buried http://twokinds.keenspot.com/comic/1106/
12-05-2020T14:14:15,CrRAR,:ctwokinds-zenshocked:
12-05-2020T14:15:29,NibblyBot,New Deviantart Post: Big Tail Problems https://www.deviantart.com/twokinds/art/Big-Tail-Problems-841669590
12-05-2020T14:16:17,JojoGD,:ptv-laugh:
12-05-2020T14:16:23,CrRAR,":ctwokinds-adiracoin:*[Found you, wee button]"
12-05-2020T14:16:52,IronHorseComics,"uh Tom, hate to bug ya but I noticed a grammar issue"
12-05-2020T14:17:27,Twokinds,Yeah I caught it
12-05-2020T14:17:35,IronHorseComics,"okay, cool."
12-05-2020T14:17:42,Twokinds,"'in' right? I just fixed it, not fast enough it seems"
12-05-2020T14:17:48,IronHorseComics,yep
12-05-2020T14:17:51,IronHorseComics,that's the one
12-05-2020T14:17:52,CrRAR,Ya got it
12-05-2020T14:25:21,Mediawatcher,"Jesus tom, how heartbreaking! And this is just the beginning of the chapter!"
12-05-2020T14:26:51,Twokinds,Yep things are going to start rolling
12-05-2020T14:27:19,Mediawatcher,Can’t wait to see what’s next! 😥
12-05-2020T14:27:20,Azumachan,Nice page Tom
12-05-2020T14:27:23,JojoGD,nice
12-05-2020T14:27:39,Twokinds,I posted today to make up for the missing one last week.
12-05-2020T14:27:49,Twokinds,There'll be another one at the regular time on Saturday.
12-05-2020T14:28:11,CrimsonQuill,Good Evening all
12-05-2020T14:28:13,CrimsonQuill,Hi Tom
12-05-2020T14:28:18,JojoGD,hi quill
12-05-2020T14:28:34,CrimsonQuill,Hi Jojo
12-05-2020T14:30:28,CrRAR,":ctwokinds-sadtrace2:*[Hey, well now at least we have some baby stuff.]"
12-05-2020T14:30:34,CrimsonQuill,Just about to read the page...
12-05-2020T14:30:34,CrRAR,“Thanks old me!”
12-05-2020T14:30:40,CrimsonQuill,"I am braced,"
12-05-2020T14:30:40,CrRAR,:ctwokinds-flomad:
12-05-2020T14:31:09,JojoGD,Now you don't have to go and buy it.
12-05-2020T14:31:32,CrimsonQuill,"JESUS CHRIST, that was too close"
12-05-2020T14:32:13,CrimsonQuill,WAY too close.
12-05-2020T14:32:34,CrimsonQuill,"...You're really dropping the feels in right away, eh Tom? Aheheh...."
12-05-2020T14:32:39,JojoGD,he almost snapped
12-05-2020T14:32:52,CrimsonQuill,"Dear God, I could write an essay about this comic...or a dozen"
12-05-2020T14:33:04,CrimsonQuill,Thank God Flora was able to help.
12-05-2020T14:33:12,IronHorseComics,the fact that he hasn't proves to me that he's grown more than I think even Euchre has realized
12-05-2020T14:33:50,CrimsonQuill,"I think that what we might see is a battle in the centre of the mind...and the two sides merging, in a new way."
12-05-2020T14:33:55,CrimsonQuill,But not without a cost.
12-05-2020T14:34:02,CrimsonQuill,Nothing comes without cost.
12-05-2020T14:34:15,CrimsonQuill,"The question is...what will that cost be, with whatever happens?"
12-05-2020T14:34:28,IronHorseComics,"oohhhh a battle in the mindscape. Trace if you find a triangle guy with a top hat, do NOT make any deals with him, he is bad juju"
12-05-2020T14:36:07,CrRAR,Triangle man with the triangular plan
12-05-2020T14:37:39,CrimsonQuill,"Excellent work on the page, Tom. Very emotional..."
12-05-2020T14:37:43,CrimsonQuill,Very well done
12-05-2020T14:48:26,Roughlandin,Methinks that mysterious portrait that's been covered up in the backgroud is about to come into play somehow...
12-05-2020T14:50:13,CrimsonQuill,Perhaps an impression of what the family would be...or a painting of their wedding.
12-05-2020T14:50:16,CrimsonQuill,"Also, hello Rough"
12-05-2020T14:50:21,ItsYaBoiFury,merp
12-05-2020T14:50:26,CrimsonQuill,Hi
12-05-2020T14:50:28,CrimsonQuill,Fury
12-05-2020T14:50:31,ItsYaBoiFury,hello
12-05-2020T14:51:17,JojoGD,hi rough and fury
12-05-2020T14:52:30,Roughlandin,Hoi. Just dropping by to go OOH at the new page
12-05-2020T14:52:34,Roughlandin,...OOOOOOOOH
12-05-2020T14:59:23,CrimsonQuill,I'm...trying to figure out whether to give myself rage over Halo Reach Legendary...or to watch Top Gear
12-05-2020T14:59:38,Mediawatcher,"This is just the beginning, I can only imagine how the rest of the chapter will be like"
12-05-2020T14:59:42,CrimsonQuill,Given that tomorrow is all study
12-05-2020T15:00:05,CrimsonQuill,@MediaWatcher Flora was right to be afraid of Trace's other side coming out here.
12-05-2020T15:00:14,Mediawatcher,Undeniably
12-05-2020T15:00:32,Mediawatcher,Oh man tom what are gonna put us through.
12-05-2020T15:00:35,Mediawatcher,?
