date,user,comment
31-12-2020T00:00:07,CrRAR,:clock12::cw0lfmare-EmberO:
31-12-2020T00:00:08,Sammit,Happy new year
31-12-2020T00:00:11,KeefMcDerpface,:tada:
31-12-2020T00:00:22,CrRAR,:ctwokinds-sleepoverA::clock12::ctwokinds-sleepoverB:
31-12-2020T00:00:30,CrRAR,:violin::ctwokinds-nibsbounce:
31-12-2020T00:00:30,NinoGD,Im still stuck in 2020
31-12-2020T00:00:38,CrRAR,Fffffffff
31-12-2020T00:00:40,KeefMcDerpface,same...
31-12-2020T00:01:27,CrRAR,:ccrrar-renibop: waitinwaitinwaitin
31-12-2020T00:01:49,CrRAR,welp hny tom!
31-12-2020T00:02:04,CrRAR,Ans other easties
31-12-2020T00:02:43,CrRAR,:ctwokinds-nibsdance:
31-12-2020T00:04:00,Sammit,"2 AM here, i will going to sleep now, bye everybody and happy new year <3"
31-12-2020T00:04:11,CrRAR,:v: sammit o7
31-12-2020T00:04:19,NinoGD,Night sammit
31-12-2020T00:04:22,CrRAR,Pleasant sleeps~
31-12-2020T00:04:27,KeefMcDerpface,bye Sammit
31-12-2020T00:05:07,RileyTheRiolu,Mission Complete
31-12-2020T00:05:13,RileyTheRiolu,Congratulations
31-12-2020T00:05:26,KeefMcDerpface,*Mission Update*
31-12-2020T00:05:30,KeefMcDerpface,Survive 2021
31-12-2020T00:05:38,CrRAR,:ptv-confused:
31-12-2020T00:05:59,CrRAR,:spoon::ctwokinds-nataniAAAAshake::spoon:
31-12-2020T00:06:27,CrRAR,fireworks like crazy here
31-12-2020T00:07:23,KeefMcDerpface,same
31-12-2020T00:08:21,Ordithus,:ctwokinds-nibsdance: 52 minutes to go
31-12-2020T00:08:57,KeefMcDerpface,:ptv-confused: My gosh... With all these fireworks it's like a war out there...
31-12-2020T00:08:57,CrRAR,:ccrrar-nibpants: mayyy olllddd pantsss be forgotttt
31-12-2020T00:09:16,CrRAR,:notes: annnd never brough to miiind
31-12-2020T00:09:39,Dadrobit,Howdy y'all!
31-12-2020T00:09:45,KeefMcDerpface,wb Dad
31-12-2020T00:09:47,CrRAR,Yo dadro
31-12-2020T00:10:09,CrRAR,2021 gettin real
31-12-2020T00:10:19,Dadrobit,Fireworks folks just arrived to the club.
31-12-2020T00:10:28,Dadrobit,2 more hours til the show
31-12-2020T00:10:49,CrRAR,Yeah guerrila fireworks goin on around here pretty good
31-12-2020T00:12:20,Dadrobit,My patrol guys are gonna get nothing productivodone tonight. Have to chase off anybody and everybody doing their own fireworks.
31-12-2020T00:12:55,Dadrobit,Technically the HOA has it as grounds for immediate eviction if anyone is caught.
31-12-2020T00:14:06,SpazztasticKiwi,at least in 2020 we got to see what a can of whoopass truly look like
31-12-2020T00:15:23,CrRAR,true the one single glimmer of some sort of cosmic justice
31-12-2020T00:16:13,CrRAR,"yeah, like the country needs more wildfires"
31-12-2020T00:17:00,CrRAR,I have SO much bacon for breakfast tomorrow
31-12-2020T00:17:13,CrRAR,:ccrrar-yis: 2021 starting off right
31-12-2020T00:17:42,CrRAR,:bacon:
31-12-2020T00:18:07,Dadrobit,And neighbors tend to become unruly after you burn down their their $20 million mansion.
