,date,user,comment
37,2017-10-24 19:40:15,Twokinds,HELLO
40,2017-10-24 19:40:30,Twokinds,How art thou alleth
54,2017-10-24 19:45:46,Twokinds,You mean people don't really die in bloodsplosions?
61,2017-10-24 19:49:31,Twokinds,I'M HERE TOO! :ctwokinds-nataniAAAAshake:
128,2017-10-24 20:04:57,Twokinds,Hello!
129,2017-10-24 20:05:02,Twokinds,I'll be streaming in just a little bit
140,2017-10-24 20:07:16,Twokinds,Wednesday streams are the least... official of the three
144,2017-10-24 20:07:48,Twokinds,Indeed. Although I did enjoy taking the last two days break.
146,2017-10-24 20:08:02,Twokinds,I used it to finally finish Disgaea 5.
148,2017-10-24 20:08:13,Twokinds,It was a much needed rest.
153,2017-10-24 20:08:37,Twokinds,Disgaea 5 is a very Japanese tactical rpg game.
157,2017-10-24 20:09:13,Twokinds,"The story is... garbage. xD But it's very addictive, gameplay wise."
165,2017-10-24 20:12:20,Twokinds,The main character is a blue-haired guy who is constantly battling a dark version of himself in his mind from a past after his ex-lover was killed.
168,2017-10-24 20:12:59,Twokinds,https://i.ytimg.com/vi/6WZRIGgsX-E/maxresdefault.jpg
177,2017-10-24 20:16:22,Twokinds,Indeed that always weirded me out
184,2017-10-24 20:21:27,Twokinds,WAKEUP
190,2017-10-24 20:22:02,Twokinds,WXDYUCBIWHBGTEWHNX SHAKEUP
288,2017-10-24 20:32:22,Twokinds,Uh... okay?
293,2017-10-24 20:32:39,Twokinds,brb
322,2017-10-24 20:35:07,Twokinds,Why trick me?
402,2017-10-24 20:46:08,Twokinds,Sorry!
413,2017-10-24 20:46:49,Twokinds,yes
416,2017-10-24 20:46:56,Twokinds,Money can be exchanged for goods and services
744,2017-10-24 21:26:38,Twokinds,brb
1147,2017-10-24 22:21:32,Twokinds,1009
1407,2017-10-24 22:52:16,Twokinds,Time is like a river. Always in the current.
1428,2017-10-24 22:53:59,Twokinds,Time is like a falling down an escalator.
1436,2017-10-24 22:54:23,Twokinds,The fatter you are the faster you'll get to the bottom
1689,2017-10-24 23:27:21,Twokinds,:ctwokinds-rainehappy::heavy_plus_sign::ctwokinds-smug:
1690,2017-10-24 23:27:25,Twokinds,:ctwokinds-zenshocked:
1716,2017-10-24 23:29:27,Twokinds,:ctwokinds-rainehappy::heavy_plus_sign::ctwokinds-natkeith::heavy_plus_sign::ctwokinds-traceflohug::heavy_plus_sign::ctwokinds-reniembarrassed:
406,2017-10-25 00:38:49,Twokinds,Sparkly magic is fun
414,2017-10-25 00:39:23,Twokinds,~2.5 years
422,2017-10-25 00:40:05,Twokinds,"Eugh, man, doesn't look as good on the stream... :P Quality"
593,2017-10-25 00:59:51,Twokinds,Ugh
594,2017-10-25 00:59:54,Twokinds,Now I have to draw all the food
662,2017-10-25 01:08:45,Twokinds,"Oops, obs crashed"
663,2017-10-25 01:08:47,Twokinds,Oh no
997,2017-10-25 01:42:31,Twokinds,Done
1010,2017-10-25 01:43:23,Twokinds,"Not the most monumentous 1000th page, but link is restored?"
1015,2017-10-25 01:43:45,Twokinds,Heheh
1017,2017-10-25 01:44:09,Twokinds,"I wasn't gunna change the story around just to make it something more exciting. xD It's just a number after all, but hopefully the sparkly is enough."
1019,2017-10-25 01:44:22,Twokinds,"Oh, Zen's gunna get Natani in stereo now."
1040,2017-10-25 01:45:59,Twokinds,Yeah thanks for joining us! Continue to enjoy w0lf's stream
1057,2017-10-25 01:47:08,Twokinds,One of these days we'll have a stream where something doesn't crash
1135,2017-10-25 02:13:44,Twokinds,Niiight!
1186,2017-10-25 02:57:57,Twokinds,Ugh
1190,2017-10-25 02:58:27,Twokinds,I'm gunna hit the hay and update tomorrow. I'm way too tired to script nice dialogue.
1191,2017-10-25 02:58:36,Twokinds,I'll be able to writer gooder tomorrow
1195,2017-10-25 02:59:03,Twokinds,It'll probably be up by 3pm tomorrow
1207,2017-10-25 03:02:30,Twokinds,lol yeah no stream tomorrow
1208,2017-10-25 03:03:36,Twokinds,"watching someone write on stream wouldn't probably be very entertaining,"
1215,2017-10-25 03:05:00,Twokinds,nini
68,2017-10-26 20:12:25,Twokinds,yo
116,2017-10-26 20:16:03,Twokinds,I will be starting at 10
427,2017-10-26 21:07:31,Twokinds,Putting up color poll
455,2017-10-26 21:09:47,Twokinds,It's up now
465,2017-10-26 21:11:16,Twokinds,Whoops
483,2017-10-26 21:13:52,Twokinds,Shoot
484,2017-10-26 21:13:54,Twokinds,Okay it's there now
514,2017-10-26 21:17:03,Twokinds,Heh
518,2017-10-26 21:17:32,Twokinds,Wel I don't know why it says that
542,2017-10-26 21:20:38,Twokinds,Crap I forgot another one
543,2017-10-26 21:20:40,Twokinds,Jeez
550,2017-10-26 21:21:31,Twokinds,SO  MANY SKETCHES
551,2017-10-26 21:21:35,Twokinds,I can't keep track
555,2017-10-26 21:22:10,Twokinds,This stuff is so stressful
561,2017-10-26 21:22:51,Twokinds,It's stressful because there's never enough time.
563,2017-10-26 21:23:00,Twokinds,I'm late because it's too much
591,2017-10-26 21:25:25,Twokinds,"Dad finds a puppy and adopts it, but it's sentient."
620,2017-10-26 21:27:31,Twokinds,First card of the month
675,2017-10-26 21:33:40,Twokinds,Seraphina just happened one chapter ago!
700,2017-10-26 21:36:41,Twokinds,"Yeah, they're not illusions, they're mutations"
720,2017-10-26 21:39:10,Twokinds,Obviously they're part of the outfit
722,2017-10-26 21:39:16,Twokinds,One came off in the comic
752,2017-10-26 21:41:20,Twokinds,Yeah
754,2017-10-26 21:41:30,Twokinds,There's a cult like that
913,2017-10-26 22:05:45,Twokinds,Obviously it works. Has anyone heard of anybody turning to stone recently?
981,2017-10-26 22:25:52,Twokinds,Yeah my ads are turned off as well
985,2017-10-26 22:26:51,Twokinds,"Like tattoos and body mods irl, getting magically modified isn't unheard of in the Twokinds world, though it is considered deviant behavior."
1012,2017-10-26 22:31:09,Twokinds,"Yeah, about as odd as seeing someone with a full face tattoo"
1035,2017-10-26 22:35:35,Twokinds,As long as it needs to be
1090,2017-10-26 22:47:21,Twokinds,Puppet Warping
1091,2017-10-26 22:47:25,Twokinds,It's fun to play around with
1100,2017-10-26 22:50:22,Twokinds,Maaybe
1133,2017-10-26 22:56:10,Twokinds,Anyone have any ideas for my halloween filler?
1152,2017-10-26 22:57:29,Twokinds,"No, I think that idea might have been taken already..."
1164,2017-10-26 22:59:55,Twokinds,"Hey, that's just your sketch suggestion"
1208,2017-10-26 23:07:00,Twokinds,"""Hi! I'm Flora. Flora the Flower."""
1282,2017-10-26 23:16:11,Twokinds,What's overwatch?
1403,2017-10-26 23:40:15,Twokinds,He had a squirrel!
4,2017-10-27 00:00:58,Twokinds,Done
167,2017-10-27 00:18:03,Twokinds,I priced it so people wouldn't want to sit on it. And I wouldn't have to work as much.
168,2017-10-27 00:18:15,Twokinds,>_>
180,2017-10-27 00:19:38,Twokinds,Nah
182,2017-10-27 00:19:51,Twokinds,I'm pretty sure slots will be open next month
354,2017-10-27 00:52:26,Twokinds,No this is the real version of that person
361,2017-10-27 00:53:05,Twokinds,"Also, Crimson"
362,2017-10-27 00:53:20,Twokinds,You should resubmit your color votes
363,2017-10-27 00:53:30,Twokinds,You voted in the first 5 minutes and it was lost
382,2017-10-27 00:56:18,Twokinds,I don't know
384,2017-10-27 00:56:22,Twokinds,I don't remember drawing this at all.
416,2017-10-27 01:02:50,Twokinds,NOOOO
432,2017-10-27 01:04:10,Twokinds,AAAAA :ctwokinds-nataniAAAAshake:
455,2017-10-27 01:07:42,Twokinds,I've never seen Berserk
472,2017-10-27 01:09:52,Twokinds,Not really a fan of anything gritty
482,2017-10-27 01:10:24,Twokinds,taxes
508,2017-10-27 01:14:18,Twokinds,Trace did nothing wrong.
593,2017-10-27 01:23:13,Twokinds,I've never seen GoT
658,2017-10-27 01:33:20,Twokinds,"Okay, flat colors done."
659,2017-10-27 01:33:25,Twokinds,I think that's gunna be it from me tonight.
684,2017-10-27 01:34:59,Twokinds,"btw, when I was designing the ""son"" for this, I literally looked up ""generic anime protagonist"""
698,2017-10-27 01:36:07,Twokinds,WELL MAYBE I WILL
704,2017-10-27 01:36:48,Twokinds,Probably not a good idea.
708,2017-10-27 01:37:10,Twokinds,It'll devolve into endless gender and species swap suggestions eventually.
5,2017-10-28 12:35:09,Twokinds,:ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer::ctwokinds-katdryer:
259,2017-10-28 14:48:54,Twokinds,Everyone voted?
417,2017-10-28 15:03:01,Twokinds,hi
429,2017-10-28 15:03:25,Twokinds,I started your game
443,2017-10-28 15:03:59,Twokinds,"Pretty close, though not as close as last time"
448,2017-10-28 15:04:16,Twokinds,Still has it
487,2017-10-28 15:06:07,Twokinds,"#4, with 20 votes"
511,2017-10-28 15:07:12,Twokinds,#3
513,2017-10-28 15:07:19,Twokinds,With 22 votes
541,2017-10-28 15:08:43,Twokinds,#2 with also 22 votes but more #1 Picks
574,2017-10-28 15:10:17,Twokinds,"#1, with 24 votes"
607,2017-10-28 15:11:28,Twokinds,Pet Daughter and Halloween Lingerie  were tied for 6th
633,2017-10-28 15:12:38,Twokinds,"Pet daughter was near the top for a while, but thriller pushed it down and then Natani's dating service came out of nowhere"
636,2017-10-28 15:12:48,Twokinds,Knocked it out at the last minute
1023,2017-10-28 15:48:57,Twokinds,Done
1360,2017-10-28 16:18:54,Twokinds,brb! Heard a crash
1398,2017-10-28 16:20:55,Twokinds,Back
1405,2017-10-28 16:21:04,Twokinds,a plate fell in the kitchen and broke
1415,2017-10-28 16:21:20,Twokinds,Luckily it only broke into two pieces
2197,2017-10-28 17:04:59,Twokinds,Done
2818,2017-10-28 17:42:11,Twokinds,Done
2844,2017-10-28 17:43:11,Twokinds,I'm gunna get something to eat
2845,2017-10-28 17:43:12,Twokinds,brb
2999,2017-10-28 17:52:10,Twokinds,Back
3043,2017-10-28 17:54:10,Twokinds,"Still eating, I'll start in a few minutes"
3049,2017-10-28 17:54:26,Twokinds,Salad
3053,2017-10-28 17:54:39,Twokinds,Hot dogs
3060,2017-10-28 17:54:52,Twokinds,pumpkin pie
3081,2017-10-28 17:56:11,Twokinds,"Opinions on pumpkin pie seem to be split. Some people like it, some people hate it."
3084,2017-10-28 17:56:24,Twokinds,I like it as long as there is ice cream or whipped cream as well.
3098,2017-10-28 17:57:12,Twokinds,It tastes like pumpkin
3117,2017-10-28 17:58:13,Twokinds,"Hey, untepdy"
3132,2017-10-28 17:59:06,Twokinds,lol
3137,2017-10-28 17:59:28,Twokinds,No it's the wolf monstrocity made of many wolves
3138,2017-10-28 17:59:37,Twokinds,Wolves stitched together
3170,2017-10-28 18:01:13,Twokinds,I drew my take on it yesterday
3324,2017-10-28 18:10:46,Twokinds,The masks aren't faceless!
3327,2017-10-28 18:10:52,Twokinds,They're literally all face!
3328,2017-10-28 18:10:54,Twokinds,Nothing but face!
3498,2017-10-28 18:23:14,Twokinds,livestream is cancelled due to a copyright claim by viacom
3522,2017-10-28 18:25:22,Twokinds,The stream recordings go up on youtube
3531,2017-10-28 18:26:03,Twokinds,I don't know
3590,2017-10-28 18:29:51,Twokinds,I shade with varying... shades of warm brown and cool blues
3591,2017-10-28 18:29:54,Twokinds,Don't shade with greys
3704,2017-10-28 18:37:26,Twokinds,Oh
3705,2017-10-28 18:37:29,Twokinds,That reminds me
3717,2017-10-28 18:38:00,Twokinds,"My mother brought some food over the other day, and..."
3725,2017-10-28 18:38:13,Twokinds,It was...
