,date,user,comment
61,2020-12-29 21:32:34,Twokinds,:ctwokinds-kingtea:
64,2020-12-29 21:42:07,Twokinds,:ctwokinds-rainehappy:
21,2020-12-30 01:56:47,Twokinds,:ctwokinds-nibsdance:
114,2020-12-30 18:22:22,Twokinds,:ctwokinds-clovischuckle:
115,2020-12-30 18:22:36,Twokinds,"""I mean, he's not wrong."""
124,2020-12-30 18:29:47,Twokinds,uh... y-yeah! vernacular!
139,2020-12-30 18:36:33,Twokinds,oh thank you
140,2020-12-30 18:36:40,Twokinds,"it has so many tags, guess I missed one"
144,2020-12-30 18:39:33,Twokinds,Thanks
145,2020-12-30 18:39:54,Twokinds,I've got the next one in the works. Probably will be drawn tomorrow.
147,2020-12-30 18:40:26,Twokinds,"No absolute promises, anything can happen. But I do believe Sage and I will be streaming New Years Day."
155,2020-12-30 18:54:53,Twokinds,Fingers crossed!
194,2020-12-30 19:28:35,Twokinds,:confetti_ball::tada:
195,2020-12-30 19:28:49,Twokinds,:champagne:
125,2020-12-31 01:01:05,Twokinds,:ctwokinds-nibrun::ctwokinds-nibrun::ctwokinds-nibrun:
469,2020-12-31 12:39:33,Twokinds,:ctwokinds-katwet:
707,2020-12-31 21:21:25,Twokinds,:ctwokinds-katwet:
786,2020-12-31 21:57:30,Twokinds,stremma soon
789,2020-12-31 21:57:43,Twokinds,dang dnd character so many options
790,2020-12-31 21:57:50,Twokinds,but I gotta work
797,2020-12-31 21:59:33,Twokinds,I'm thinking about making one of those annoying rogues that throws knives at people all the time.
799,2020-12-31 21:59:46,Twokinds,"Well, throws anything."
800,2020-12-31 21:59:48,Twokinds,Saaage
803,2020-12-31 22:00:02,Twokinds,You timed it perfectly to coincide with the holidays.
804,2020-12-31 22:00:08,Twokinds,With no breaks
806,2020-12-31 22:00:19,Twokinds,So there was no time to do anything.
808,2020-12-31 22:00:24,Twokinds,Some of us are busy
818,2020-12-31 22:01:38,Twokinds,"Honestly, I've just been burnt out the last couple months."
820,2020-12-31 22:01:53,Twokinds,"From everything. I'm trying to get back on, but I think I need to start considering cutting stuff out of my life."
831,2020-12-31 22:03:56,Twokinds,"Honestly, a vacation would be nice. But impossible."
838,2020-12-31 22:04:46,Twokinds,not tavel
839,2020-12-31 22:04:50,Twokinds,I don't like travelling
842,2020-12-31 22:05:16,Twokinds,I just wish I had a small window to recharge.
846,2020-12-31 22:06:07,Twokinds,"Whatever, it don't matter."
912,2020-12-31 22:19:06,Twokinds,Happy 2021!
982,2020-12-31 22:33:23,Twokinds,Second highest?
984,2020-12-31 22:33:30,Twokinds,Which one was higher? The meta game?
3,2021-01-01 00:02:39,Twokinds,honestly me too
4,2021-01-01 00:02:43,Twokinds,but I'mma finish inking
25,2021-01-01 00:07:31,Twokinds,dun make me hungry
67,2021-01-01 00:12:29,Twokinds,HI UNSTEDDDDDYYYYY!
77,2021-01-01 00:14:36,Twokinds,Job done
81,2021-01-01 00:14:56,Twokinds,by that I mean inking - time for snak
85,2021-01-01 00:15:12,Twokinds,roast chicken sounds good
106,2021-01-01 00:21:22,Twokinds,I'
108,2021-01-01 00:21:32,Twokinds,I'm back!
117,2021-01-01 00:22:01,Twokinds,Couldn't find any chicken.
120,2021-01-01 00:22:07,Twokinds,Got ham
132,2021-01-01 00:22:58,Twokinds,"I have ham, a pickle, and two poptarts"
133,2021-01-01 00:23:00,Twokinds,and eggnog
145,2021-01-01 00:23:28,Twokinds,strawberry and blueberry
158,2021-01-01 00:24:09,Twokinds,I like pickles
164,2021-01-01 00:24:46,Twokinds,"Uh.. this one is sour, I guess?"
166,2021-01-01 00:24:51,Twokinds,It's just a normal pickle.
174,2021-01-01 00:26:24,Twokinds,I always just use relish for tuna salad.
187,2021-01-01 00:27:49,Twokinds,It's a milkshake
268,2021-01-01 00:38:15,Twokinds,o/
273,2021-01-01 00:39:16,Twokinds,yo kameloh
301,2021-01-01 00:43:53,Twokinds,He is a villian after all.
304,2021-01-01 00:44:06,Twokinds,1) Monologue. 2) kill underling
311,2021-01-01 00:44:51,Twokinds,He crossed out the thwarted part and wrote in profit
372,2021-01-01 01:05:36,Twokinds,:cow2:
408,2021-01-01 01:14:10,Twokinds,no
